timestamp,open,close,high,low,volume,anomaly,method,date,kernai_daily_avg,gigachat_daily_avg,deepseek_daily_avg,daily_headlines,weighted_score_base,weighted_score_with_decay,return
2016-01-01 00:00:00+00:00,101.67,101.26,101.85,100.47,3886808,0.0,pelt_rbf,2016-01-01,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,
2016-01-04 00:00:00+00:00,101.0,98.01,101.78,97.94,5126455,0.0,pelt_rbf,2016-01-04,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.032095595496741014
2016-01-05 00:00:00+00:00,97.88,98.89,99.24,97.16,4907157,0.0,pelt_rbf,2016-01-05,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.008978675645342271
2016-01-06 00:00:00+00:00,98.7,96.85,99.56,96.83,4071093,0.0,pelt_rbf,2016-01-06,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.020628981696834914
2016-01-07 00:00:00+00:00,98.7,96.85,99.56,96.83,4071093,0.0,pelt_rbf,2016-01-07,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0
2016-01-08 00:00:00+00:00,98.7,96.85,99.56,96.83,4071093,0.0,pelt_rbf,2016-01-08,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.0
2016-01-11 00:00:00+00:00,93.61,91.03,94.89,91.01,8612029,0.0,pelt_rbf,2016-01-11,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.060092927207021085
2016-01-12 00:00:00+00:00,89.09,91.71,92.88,88.52,11010905,0.0,pelt_rbf,2016-01-12,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.007470064813797528
2016-01-13 00:00:00+00:00,92.75,91.5,93.88,91.25,7416970,0.0,pelt_rbf,2016-01-13,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.0022898266274123946
2016-01-14 00:00:00+00:00,91.0,93.04,93.15,90.37,8117922,0.0,pelt_rbf,2016-01-14,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,0.016830601092896247
2016-01-15 00:00:00+00:00,92.44,87.27,92.95,86.85,13379120,0.0,pelt_rbf,2016-01-15,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.06201633705932941
2016-01-18 00:00:00+00:00,86.01,86.15,88.28,85.1,10057424,0.0,pelt_rbf,2016-01-18,0.0,0.0,0.0,Новости отсутствуют,0.0,0.0,-0.01283373438753288
