timestamp,open,close,high,low,volume,anomaly,method
2016-01-01 00:00:00+00:00,600.2,591.0,603.8,590.0,749850,0.0,pelt_rbf
2016-01-04 00:00:00+00:00,594.2,571.0,594.2,570.4,861790,0.0,pelt_rbf
2016-01-05 00:00:00+00:00,572.4,573.6,575.8,566.8,1028660,0.0,pelt_rbf
2016-01-06 00:00:00+00:00,572.2,568.0,575.4,565.0,604380,0.0,pelt_rbf
2016-01-07 00:00:00+00:00,572.2,568.0,575.4,565.0,604380,0.0,pelt_rbf
2016-01-08 00:00:00+00:00,572.2,568.0,575.4,565.0,604380,0.0,pelt_rbf
2016-01-11 00:00:00+00:00,562.0,550.6,563.0,545.8,1151900,0.0,pelt_rbf
2016-01-12 00:00:00+00:00,549.0,567.0,569.0,537.0,1247610,0.0,pelt_rbf
2016-01-13 00:00:00+00:00,568.8,572.8,579.8,565.2,1165070,0.0,pelt_rbf
2016-01-14 00:00:00+00:00,567.8,576.2,577.0,560.8,889580,0.0,pelt_rbf
2016-01-15 00:00:00+00:00,574.2,543.8,577.0,538.0,2732040,0.0,pelt_rbf
2016-01-18 00:00:00+00:00,540.2,559.6,563.8,535.2,1051760,0.0,pelt_rbf
2016-01-19 00:00:00+00:00,564.6,561.8,584.6,555.4,1431840,0.0,pelt_rbf
2016-01-20 00:00:00+00:00,555.6,553.8,555.6,540.0,2331170,0.0,pelt_rbf
2016-01-21 00:00:00+00:00,553.0,568.2,572.2,553.0,1554020,0.0,pelt_rbf
2016-01-22 00:00:00+00:00,580.0,593.6,602.0,569.0,2528400,0.0,pelt_rbf
2016-01-25 00:00:00+00:00,597.6,595.8,600.0,581.0,1110470,0.0,pelt_rbf
2016-01-26 00:00:00+00:00,590.0,577.0,600.0,575.8,1512250,0.0,pelt_rbf
2016-01-27 00:00:00+00:00,578.4,600.0,602.8,577.6,1286800,0.0,pelt_rbf
2016-01-28 00:00:00+00:00,599.6,618.4,623.0,599.0,2393210,0.0,pelt_rbf
2016-01-29 00:00:00+00:00,620.2,639.2,639.2,615.2,1733300,0.0,pelt_rbf
2016-02-01 00:00:00+00:00,639.0,630.0,644.2,629.6,1372750,0.0,pelt_rbf
2016-02-02 00:00:00+00:00,629.0,622.2,639.4,621.0,1258200,0.0,pelt_rbf
2016-02-03 00:00:00+00:00,620.0,613.0,626.2,613.0,1170910,0.0,pelt_rbf
2016-02-04 00:00:00+00:00,630.0,636.0,642.4,620.2,1744420,0.0,pelt_rbf
2016-02-05 00:00:00+00:00,636.0,623.4,637.0,620.4,949610,0.0,pelt_rbf
2016-02-08 00:00:00+00:00,624.4,604.2,628.6,601.0,1398100,0.0,pelt_rbf
2016-02-09 00:00:00+00:00,600.0,605.0,616.0,598.6,1951960,0.0,pelt_rbf
2016-02-10 00:00:00+00:00,602.0,615.8,619.6,597.8,1627470,0.0,pelt_rbf
2016-02-11 00:00:00+00:00,613.2,597.0,613.2,594.2,2496410,0.0,pelt_rbf
