stage,stage_name,avg_rmse,avg_mape,avg_da,avg_features,ticker_count
1,Базовая модель (close),31.02122284669486,2.2001224306254503,0.4444444444444445,1.0,10
2,+ Аномалии,31.144149465105016,2.2783530033303374,0.47777777777777775,2.0,10
3,+ Новости,31.06278598224575,2.273454433252099,0.45555555555555555,6.0,10
4,+ Свечи,30.02082599531248,2.1979965983265584,0.4222222222222222,10.0,10
5,+ Технические индикаторы,30.26926545004317,2.094546174939209,0.4666666666666667,23.0,10
6,+ PCA компоненты,31.092503625420022,2.210219020865719,0.4444444444444445,116.3,10
