Модель,Успешных тестов,Всего тестов,Успешность (%),Средний MAE,Средний MAPE (%),Средний RMSE,Средний DA (%),Среднее время (с)
GPT-4o-mini,10,10,100.0,36.021569341228975,3.3035718327791814,49.918802898845016,41.84997085079316,1.052015566420633
LLaMA-4,10,10,100.0,32.514632894590186,2.6171788876607716,44.19048667170384,46.039616472112094,1.382607612625063
Claude-Haiku,10,10,100.0,37.74027397608026,3.153161795072944,54.92524052886497,47.872172187138275,2.4417750200385866
DeepSeek-Chat,10,10,100.0,99.06580628332676,8.916392035100545,302.6287111655352,46.58017354339375,5.100886886085541
GigaChat,10,10,100.0,69.19969942615418,5.997715143588158,96.1946778164308,47.12292828486949,0.1946565818207355
